Popular Quotes,Author Names,Likes,Links,Images
    We are all atheists about most of the gods that humanity has ever believed in. Some of us just go one god further.,"    Richard Dawkins,  ",4464,/author/show/1194.Richard_Dawkins,https://images.gr-assets.com/authors/1377030297p2/1194.jpg
    And I like large parties. The?ôre so intimate. At small parties there is?ôt any privacy.,"    F. Scott Fitzgerald,  ",4463,/author/show/3190.F_Scott_Fitzgerald,https://images.gr-assets.com/authors/1517864008p2/3190.jpg
"    Well, nowIf little by little you stop loving meI shall stop loving youLittle by littleIf suddenly you forget meDo not look for meFor I shall already have forgotten youIf you think it long and mad the wind of banners that passes through my lifeAnd you decide to leave me at the shore of the heart where I have rootsRememberThat on that day, at that hour, I shall lift my armsAnd my roots will set off to seek another lan?ù    ","    Pablo Neruda,  ",4459,/author/show/4026.Pablo_Neruda,https://images.gr-assets.com/authors/1651474656p2/4026.jpg
"    Hate the sin, love the sinner.",    Mahatma Gandhi  ,4458,/author/show/5810891.Mahatma_Gandhi,https://images.gr-assets.com/authors/1356810912p2/5810891.jpg
"    You're off to Great Places!Today is your day!Your mountain is waiting,So... get on your way?ù    ","    Dr. Seuss,  ",4458,/author/show/61105.Dr_Seuss,https://images.gr-assets.com/authors/1193930952p2/61105.jpg
"    Ah?ù said a voice from the doorway,?having your annual?òeveryone thinks Will is a lunati?ô meeting, are you??I?ôs biannual?ù said Jem.?And no, this is not that meeting.","    Cassandra Clare,  ",4455,/author/show/150038.Cassandra_Clare,https://images.gr-assets.com/authors/1270502031p2/150038.jpg
    He's a wallflower. You see things. You keep quiet about them. And you understand.,"    Stephen Chbosky,  ",4452,/author/show/12898.Stephen_Chbosky,https://images.gr-assets.com/authors/1599132962p2/12898.jpg
    The one thing that doesn't abide by majority rule is a person's conscience.,"    Harper Lee,  ",4448,/author/show/1825.Harper_Lee,https://images.gr-assets.com/authors/1593873322p2/1825.jpg
"    If you obey all of the rules, you miss all of the fun.",    Katharine Hepburn  ,4447,/author/show/84099.Katharine_Hepburn,https://images.gr-assets.com/authors/1332828172p2/84099.jpg
"    We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.",    C. JoyBell C.  ,4445,/author/show/4114218.C_JoyBell_C_,https://images.gr-assets.com/authors/1612358741p2/4114218.jpg
"    I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.","    Fitzgerald F. Scott,  ",4444,/author/show/3190.F_Scott_Fitzgerald,https://images.gr-assets.com/authors/1517864008p2/3190.jpg
"    Mom. I have something to tell you. ?ôm undead. Now, I know you may have some preconceived notions about the undead. I know you may not be comfortable with the idea of me being undead. But ?ôm here to tell you that undead are just like you and me?¶ well, okay. Possibly more like me than you.","    Cassandra Clare,  ",4442,/author/show/150038.Cassandra_Clare,https://images.gr-assets.com/authors/1270502031p2/150038.jpg
    Great spirits have always encountered violent opposition from mediocre minds.,    Albert Einstein  ,4439,/author/show/9810.Albert_Einstein,https://images.gr-assets.com/authors/1429114964p2/9810.jpg
"    No matter how much suffering you went through, you never wanted to let go of those memories.",    haruki murakami  ,4438,/author/show/3354.Haruki_Murakami,https://images.gr-assets.com/authors/1615497402p2/3354.jpg
"    Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams, because every second of the search is a second's encounter with God and with eternity.","    Paulo Coelho,  ",4431,/author/show/566.Paulo_Coelho,https://images.gr-assets.com/authors/1201840056p2/566.jpg
    Sanity and happiness are an impossible combination.,    Mark Twain  ,4428,/author/show/1244.Mark_Twain,https://images.gr-assets.com/authors/1322103868p2/1244.jpg
"    You are imperfect, permanently and inevitably flawed. And you are beautiful.",    Amy Bloom  ,4427,/author/show/115220.Amy_Bloom,https://images.gr-assets.com/authors/1629838848p2/115220.jpg
    To burn with desire and keep quiet about it is the greatest punishment we can bring on ourselves.,"    Federico Garc√≠a Lorca,  ",4426,/author/show/44150.Federico_Garc_a_Lorca,https://images.gr-assets.com/authors/1651452804p2/44150.jpg
    The reason it hurts so much to separate is because our souls are connected.,    Nicholas Sparks  ,4415,/author/show/2345.Nicholas_Sparks,https://images.gr-assets.com/authors/1652281333p2/2345.jpg
"    People who claim that they're evil are usually no worse than the rest of us... It's people who claim that they're good, or any way better than the rest of us, that you have to be wary of.","    Gregory Maguire,  ",4409,/author/show/7025.Gregory_Maguire,https://images.gr-assets.com/authors/1319068553p2/7025.jpg
    And so it goes...,"    Kurt Vonnegut,  ",4409,/author/show/2778055.Kurt_Vonnegut_Jr_,https://images.gr-assets.com/authors/1433582280p2/2778055.jpg
